"Add","Hinzufügen"
"Remaining Downloads","Übrige Downloads"
"Remaining Downloads","Übrige Downloads"
"Remaining Downloads","Übrige Downloads"
"Remove","Löschen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove links and samples from downloadable product","Links und Beispiele vom herunterladbaren Produkt entfernen"
"Requested link does not exist.","Angeforderter Link existiert nicht."
"Requested link does not exist.","Angeforderter Link existiert nicht."
"Retrieve links and samples list from downloadable product","Links und Beispielliste vom herunterladbaren Produkt abrufen"
"SKU","SKU"
"SKU","SKU"
"SKU","SKU"
"SKU","SKU"
"SKU","SKU"
"Sample","Beispiel"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"Shareable","Mitbenutzbar"
"Shareable","Mitbenutzbar"
"Shipped","Versandt"
"Shipped","Versandt"
"Sorry, there was an error getting requested content. Please contact the store owner.","Leider trat beim Einholen des gewünschten Inhalts ein Fehler auf. Bitte kontaktieren Sie den Shopinhaber."
"Sorry, there was an error getting requested content. Please contact the store owner.","Leider trat beim Einholen des gewünschten Inhalts ein Fehler auf. Bitte kontaktieren Sie den Shopinhaber."
"Sort Order","Sortierreihenfolge"
"Sort Order","Sortierreihenfolge"
"Start Download","Download starten"
"Start Download","Download starten"
"Status","Status"
"Status","Status"
"Status","Status"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"The file does not exist.","Die Datei existiert nicht."
"The link has expired.","Der Link ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Einige Dateien wurden ausgewählt aber noch nicht hochgeladen. Bitte laden Sie sie erst hoch oder entfernen Sie sie."
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"To:","An:"
"To:","An:"
"U","U"
"Unlimited","Unbegrenzt"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"Update","Aktualisieren"
"Use Content-Disposition","Verwenden Sie Content-Disposition"
"Use Default Value","Standardwert verwenden"
"View Order","Bestellung ansehen"
"View Order","Bestellung ansehen"
"What's this?","Was ist das?"
"What's this?","Was ist das?"
"What's this?","Was ist das?"
"What's this?","Was ist das?"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"attachment","Anhang"
"download","Download"
"download","Download"
"download","Download"
"download","Download"
"inline","Inline"
"sample","Probe"
"sample","Probe"
